record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
PNE001,Guest editorial: Introduction to the special issue – learning with social media in an algorithmic age: opportunities and challenges for education,Christine Greenhow; K. Bret Staudt Willet; Jeffrey P. Carpenter,2024,Information and Learning Sciences,journal,10.1108/ils-10-2024-267,,https://doi.org/10.1108/ils-10-2024-267,1,2026-04-10,1,1,0,,,,,,,,,,,,,PNE001,,,openalex-pilot-collection
PNE002,The experiences of medical students with ADHD: A phenomenological study,Megan Godfrey‐Harris; Sebastian C. K. Shaw,2023,PLoS ONE,journal,10.1371/journal.pone.0290513,,https://doi.org/10.1371/journal.pone.0290513,38,2026-04-10,1,1,0,,,,,,,,,,,,,PNE002,,,openalex-pilot-collection
PNE003,The impact of visual and auditory distractions on the performance of neurodiverse students in virtual reality (VR) environments,Ibrahim Dahlstrom‐Hakki; Zachary Alstad; Jodi Asbell‐Clarke; Teon Edwards,2024,Virtual Reality,journal,10.1007/s10055-023-00933-6,,https://doi.org/10.1007/s10055-023-00933-6,16,2026-04-10,1,1,0,,,,,,,,,,,,,PNE003,,,openalex-pilot-collection
PNE004,Mapping neurodevelopmental diversity in executive function,Silvana Mareva; Lead Investigators; Duncan E. Astle; Kate Baker; Susan E. Gathercole; Joni Holmes; Joni Holmes; Rogier Kievit,2024,Cortex,journal,10.1016/j.cortex.2023.11.021,,https://doi.org/10.1016/j.cortex.2023.11.021,18,2026-04-10,1,1,0,,,,,,,,,,,,,PNE004,,,openalex-pilot-collection
PNE005,"Manual assembly learning, disability, and instructions: an industrial experiment",Jaakko Peltokorpi; Steven Hoedt; Thomas Colman; Kim Rutten; El‐Houssaine Aghezzaf; Johannes Cottyn,2023,International Journal of Production Research,journal,10.1080/00207543.2023.2195957,,https://doi.org/10.1080/00207543.2023.2195957,21,2026-04-10,1,1,0,,,,,,,,,,,,,PNE005,,,openalex-pilot-collection
PNE006,Kids Across the Spectrums,Meryl Alper,2023,The MIT Press eBooks,journal,10.7551/mitpress/14152.001.0001,,https://doi.org/10.7551/mitpress/14152.001.0001,15,2026-04-10,1,1,0,,,,,,,,,,,,,PNE006,,,openalex-pilot-collection
PNE007,A Systematic Literature Review of Research-based Interventions and Strategies for Students with Disabilities in STEM and STEAM Education,Jonathan Álvarez Ariza; Carola Hernández Hernández,2025,International Journal of Science and Mathematics Education,journal,10.1007/s10763-025-10544-z,,https://doi.org/10.1007/s10763-025-10544-z,12,2026-04-10,1,1,0,,,,,,,,,,,,,PNE007,,,openalex-pilot-collection
PNE008,Learning from the Experiences of Autistic Professionals Working in Health and Education,Eleanor Curnow; Donald Maciver; Lorna Johnston; Deirdre M. Murray; Victoria Johnstone‐Cooke; Izy Utley; Natalie Jenkins; Tamsin Meff,2025,Autism in Adulthood,journal,10.1089/aut.2024.0168,,https://doi.org/10.1089/aut.2024.0168,6,2026-04-10,1,1,0,,,,,,,,,,,,,PNE008,,,openalex-pilot-collection
PNE009,"AI-driven adaptive learning platforms: Enhancing educational outcomes for students with special needs through user-centric, tailored digital tools",Ayobami O. Ayeni; Rodney E. Ovbiye; Ayomide S. Onayemi; Kayode E. Ojedele,2024,World Journal of Advanced Research and Reviews,journal,10.30574/wjarr.2024.22.3.0843,,https://doi.org/10.30574/wjarr.2024.22.3.0843,6,2026-04-10,1,1,0,,,,,,,,,,,,,PNE009,,,openalex-pilot-collection
PNE010,Rational inattention: A new theory of neurodivergent information seeking,Samuel David Jones; Manon Jones; Kami Koldewyn; Gert Westermann,2024,Developmental Science,journal,10.1111/desc.13492,,https://doi.org/10.1111/desc.13492,5,2026-04-10,1,1,0,,,,,,,,,,,,,PNE010,,,openalex-pilot-collection
PNE011,Inclusive education with AI: supporting special needs and tackling language barriers,Ricardo Fitas,2025,AI and Ethics,journal,10.1007/s43681-025-00824-3,,https://doi.org/10.1007/s43681-025-00824-3,14,2026-04-10,1,1,0,,,,,,,,,,,,,PNE011,,,openalex-pilot-collection
PNE012,Embracing the Irreplaceable: The Role of Neurodiversity in Cultivating Human-AI Symbiosis in Education,Piper Hutson,2024,International Journal of Emerging and Disruptive Innovation in Education VISIONARIUM,journal,10.62608/2831-3550.1020,,https://doi.org/10.62608/2831-3550.1020,4,2026-04-10,1,1,0,,,,,,,,,,,,,PNE012,,,openalex-pilot-collection
PNE013,Neurodiverse Education and Chatbots as Personalized Learning Tools: Opening the Research Agenda,Ujjal Mukherjee,2025,Journal of Informatics Education and Research,journal,10.52783/jier.v5i1.2065,,https://doi.org/10.52783/jier.v5i1.2065,3,2026-04-10,1,1,0,,,,,,,,,,,,,PNE013,,,openalex-pilot-collection
PNE014,Investigating Foreign Language Vocabulary Recognition in Children with ADHD and Autism with the Use of Eye Tracking Technology,Γεωργία Ανδρέου; Ariadni Argatzopoulou,2025,Brain Sciences,journal,10.3390/brainsci15080876,,https://doi.org/10.3390/brainsci15080876,3,2026-04-10,1,1,0,,,,,,,,,,,,,PNE014,,,openalex-pilot-collection
PNE015,"Examining Access and Inclusion in STEM Fields in Higher Education: Digital Learning Environments, Personalized Learning, and Institutional Change to Advance Educational Opportunity",Kimberly Cook-Chennault,2025,Education and human development,journal,10.5772/intechopen.1010267,,https://doi.org/10.5772/intechopen.1010267,2,2026-04-10,1,1,0,,,,,,,,,,,,,PNE015,,,openalex-pilot-collection
PNE018,Taking off the mask: autistic young women's experiences with social skills in high school,Marisa Kofke,2024,"Library, Museums and Press - UDSpace (University of Delaware)",journal,10.58088/67xc-bq57,,http://udspace.udel.edu/handle/19716/24958,4,2026-04-10,1,1,0,,,,,,,,,,,,,PNE018,,,openalex-pilot-collection
PNE019,Encouraging Awareness and Empathy for Diversity Through Experiential Practiced Simulations,Farah L. Vallera; Noor Syed,2023,International Journal of Designs for Learning,journal,10.14434/ijdl.v14i2.33679,,https://doi.org/10.14434/ijdl.v14i2.33679,4,2026-04-10,1,1,0,,,,,,,,,,,,,PNE019,,,openalex-pilot-collection
PNE020,Beyond the One-Size-Fits-All: A Systematic Review of Personalized and Gamified e-Learning for Neurodivergent Learners,Surendra Babu T; Anu Mary Chacko; S. D. Madhu Kumar,2025,The Electronic Journal of e-Learning,journal,10.34190/ejel.23.3.4051,,https://doi.org/10.34190/ejel.23.3.4051,1,2026-04-10,1,1,0,,,,,,,,,,,,,PNE020,,,openalex-pilot-collection
PNA002,Adaptive Neuro-Affective Engagement via Bayesian Feedback Learning in Serious Games for Neurodivergent Children,Diego R. Faria; Pedro Paulo da Silva Ayrosa,2025,Applied Sciences,journal,10.3390/app15137532,,https://doi.org/10.3390/app15137532,2,2026-04-10,1,0,1,,,,,,,,,,,,,PNA002,,,openalex-pilot-collection
PNA003,Guest editorial: Fostering inclusive approaches for learners with special needs,Heidi Flavian; Jeffrey W. Alstete,2024,Quality Assurance in Education,journal,10.1108/qae-10-2024-218,,https://doi.org/10.1108/qae-10-2024-218,1,2026-04-10,1,0,1,,,,,,,,,,,,,PNA003,,,openalex-pilot-collection
PNA004,The Future of Laboratory Chemistry Learning and Teaching Must be Accessible,Orielia Pria Egambaram; Kira L. F. Hilton; Jennifer Leigh; Robert C. Richardson; Julia P. Sarju; Anna G. Slater; Bethan Turner,2022,Journal of Chemical Education,journal,10.1021/acs.jchemed.2c00328,,https://doi.org/10.1021/acs.jchemed.2c00328,49,2026-04-10,1,0,1,,,,,,,,,,,,,PNA004,,,openalex-pilot-collection
PNA005,"Breaking barriers, building futures: Inclusive workplaces for autistic people",Chiara Failla; Paola Chilà; Dario Baluci; Carmelo Caporlingua; Alessandro Meduri; Giovanni Pioggia; Flavia Marino,2025,Frontiers in Psychiatry,journal,10.3389/fpsyt.2025.1606075,,https://doi.org/10.3389/fpsyt.2025.1606075,1,2026-04-10,1,0,1,,,,,,,,,,,,,PNA005,,,openalex-pilot-collection
PNA006,Cognitive load and neurodiversity in online education: a preliminary framework for educational research and policy,Anne‐Laure Le Cunff; Brandon-Lee Martis; Caitlin M. Glover; E Ahmed; Rhian M. Ford; Vincent Giampietro; Eleanor J. Dommett,2025,Frontiers in Education,journal,10.3389/feduc.2024.1437673,,https://doi.org/10.3389/feduc.2024.1437673,16,2026-04-10,1,0,1,,,,,,,,,,,,,PNA006,,,openalex-pilot-collection
PNA007,Integrating virtual reality into ADHD therapy: advancing clinical evidence and implementation strategies,Anithamol Babu; Akhil P. Joseph,2025,Frontiers in Psychiatry,journal,10.3389/fpsyt.2025.1591504,,https://doi.org/10.3389/fpsyt.2025.1591504,7,2026-04-10,1,0,1,,,,,,,,,,,,,PNA007,,,openalex-pilot-collection
PNA008,Predictors of Health-Related Quality of Life in Neurodivergent Children: A Systematic Review,Maryam Mahjoob; Tithi Paul; Julia Carbone; Harshit Bokadia; Robyn E. Cardy; Souraiya Kassam; Evdokia Anagnostou; Brendan F. Andrade,2023,Clinical Child and Family Psychology Review,review_article,10.1007/s10567-023-00462-3,,https://doi.org/10.1007/s10567-023-00462-3,20,2026-04-10,1,0,1,,,,,,,,,,,,,PNA008,,,openalex-pilot-collection
PNA009,Adult Autism Research Priorities and Conceptualization in Computing Research: Invitation to Co-lead with Autistic Adults,Dafne Zuleima Morgado Ramírez; Giulia Barbareschi; Catherine Holloway,2024,ACM Transactions on Computer-Human Interaction,journal,10.1145/3635148,,https://doi.org/10.1145/3635148,10,2026-04-10,1,0,1,,,,,,,,,,,,,PNA009,,,openalex-pilot-collection
PNA011,An Experience Sensitive Approach to Care With and for Autistic Children and Young People in Clinical Services,Elaine McGreevy; Alexis Quinn; Roslyn Law; Monique Botha; Mairi Evans; Kieran Rose; Ruth Moyse; Tiegan Boyens,2024,Journal of Humanistic Psychology,journal,10.1177/00221678241232442,,https://doi.org/10.1177/00221678241232442,12,2026-04-10,1,0,1,,,,,,,,,,,,,PNA011,,,openalex-pilot-collection
PNA012,Neurodivergent by Design: Using AI to Honor and Support Learning Differences,Christina Costa,2025,IntechOpen eBooks,journal,10.5772/intechopen.1012983,,https://doi.org/10.5772/intechopen.1012983,0,2026-04-10,1,0,1,,,,,,,,,,,,,PNA012,,,openalex-pilot-collection
PNA013,AI &amp; XR Explorations to Support Social Interactions: Speculative Design for Ubiquitous Workplace Space by and for Neurodivergent Employees,John Z. Kiss,2025,Journal of Biosensors and Bioelectronics Research,journal,10.47363/jbber/2025(3)131,,https://doi.org/10.47363/jbber/2025(3)131,0,2026-04-10,1,0,1,,,,,,,,,,,,,PNA013,,,openalex-pilot-collection
PNA014,Designing Teaching Strategies Using Artificial Intelligence for Neurodivergent Students in Higher Education,Paola Elvira Velazquez-Solis; Martha Elena González Correa; Martha Angelica Angelica Martinez Martinez; Jesus Guillermo Arroyo; Marisa Marquez,2025,IGI Global eBooks,journal,10.4018/979-8-3693-6910-4.ch010,,https://doi.org/10.4018/979-8-3693-6910-4.ch010,0,2026-04-10,1,0,1,,,,,,,,,,,,,PNA014,,,openalex-pilot-collection
PNA015,The neurosociological paradigm of the metaverse,Olga Maslova; Natalia Shusharina; V. F. Pyatin,2025,Frontiers in Psychology,journal,10.3389/fpsyg.2024.1371876,,https://doi.org/10.3389/fpsyg.2024.1371876,5,2026-04-10,1,0,1,,,,,,,,,,,,,PNA015,,,openalex-pilot-collection
PNA017,Integrating Neuroaesthetic Design into Brain-on-Chip Research: Toward Enhanced Neural Engagement and Cognitive Accessibility,Piper Hutson; James Hutson,2025,Current Research Bulletin,journal,10.55677/crb/i08-02-crb2025,,https://doi.org/10.55677/crb/i08-02-crb2025,0,2026-04-10,1,0,1,,,,,,,,,,,,,PNA017,,,openalex-pilot-collection
