record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
PNA002,Adaptive Neuro-Affective Engagement via Bayesian Feedback Learning in Serious Games for Neurodivergent Children,Diego R. Faria; Pedro Paulo da Silva Ayrosa,2025,Applied Sciences,journal,10.3390/app15137532,,https://doi.org/10.3390/app15137532,2,2026-04-10,1,0,1,,,,,,,,,,,,,PNA002,,,openalex-pilot-collection
PNA003,Guest editorial: Fostering inclusive approaches for learners with special needs,Heidi Flavian; Jeffrey W. Alstete,2024,Quality Assurance in Education,journal,10.1108/qae-10-2024-218,,https://doi.org/10.1108/qae-10-2024-218,1,2026-04-10,1,0,1,,,,,,,,,,,,,PNA003,,,openalex-pilot-collection
PNA004,The Future of Laboratory Chemistry Learning and Teaching Must be Accessible,Orielia Pria Egambaram; Kira L. F. Hilton; Jennifer Leigh; Robert C. Richardson; Julia P. Sarju; Anna G. Slater; Bethan Turner,2022,Journal of Chemical Education,journal,10.1021/acs.jchemed.2c00328,,https://doi.org/10.1021/acs.jchemed.2c00328,49,2026-04-10,1,0,1,,,,,,,,,,,,,PNA004,,,openalex-pilot-collection
PNA005,"Breaking barriers, building futures: Inclusive workplaces for autistic people",Chiara Failla; Paola Chilà; Dario Baluci; Carmelo Caporlingua; Alessandro Meduri; Giovanni Pioggia; Flavia Marino,2025,Frontiers in Psychiatry,journal,10.3389/fpsyt.2025.1606075,,https://doi.org/10.3389/fpsyt.2025.1606075,1,2026-04-10,1,0,1,,,,,,,,,,,,,PNA005,,,openalex-pilot-collection
PNA006,Cognitive load and neurodiversity in online education: a preliminary framework for educational research and policy,Anne‐Laure Le Cunff; Brandon-Lee Martis; Caitlin M. Glover; E Ahmed; Rhian M. Ford; Vincent Giampietro; Eleanor J. Dommett,2025,Frontiers in Education,journal,10.3389/feduc.2024.1437673,,https://doi.org/10.3389/feduc.2024.1437673,16,2026-04-10,1,0,1,,,,,,,,,,,,,PNA006,,,openalex-pilot-collection
PNA007,Integrating virtual reality into ADHD therapy: advancing clinical evidence and implementation strategies,Anithamol Babu; Akhil P. Joseph,2025,Frontiers in Psychiatry,journal,10.3389/fpsyt.2025.1591504,,https://doi.org/10.3389/fpsyt.2025.1591504,7,2026-04-10,1,0,1,,,,,,,,,,,,,PNA007,,,openalex-pilot-collection
PNA008,Predictors of Health-Related Quality of Life in Neurodivergent Children: A Systematic Review,Maryam Mahjoob; Tithi Paul; Julia Carbone; Harshit Bokadia; Robyn E. Cardy; Souraiya Kassam; Evdokia Anagnostou; Brendan F. Andrade,2023,Clinical Child and Family Psychology Review,review_article,10.1007/s10567-023-00462-3,,https://doi.org/10.1007/s10567-023-00462-3,20,2026-04-10,1,0,1,,,,,,,,,,,,,PNA008,,,openalex-pilot-collection
PNA009,Adult Autism Research Priorities and Conceptualization in Computing Research: Invitation to Co-lead with Autistic Adults,Dafne Zuleima Morgado Ramírez; Giulia Barbareschi; Catherine Holloway,2024,ACM Transactions on Computer-Human Interaction,journal,10.1145/3635148,,https://doi.org/10.1145/3635148,10,2026-04-10,1,0,1,,,,,,,,,,,,,PNA009,,,openalex-pilot-collection
PNA011,An Experience Sensitive Approach to Care With and for Autistic Children and Young People in Clinical Services,Elaine McGreevy; Alexis Quinn; Roslyn Law; Monique Botha; Mairi Evans; Kieran Rose; Ruth Moyse; Tiegan Boyens,2024,Journal of Humanistic Psychology,journal,10.1177/00221678241232442,,https://doi.org/10.1177/00221678241232442,12,2026-04-10,1,0,1,,,,,,,,,,,,,PNA011,,,openalex-pilot-collection
PNA012,Neurodivergent by Design: Using AI to Honor and Support Learning Differences,Christina Costa,2025,IntechOpen eBooks,journal,10.5772/intechopen.1012983,,https://doi.org/10.5772/intechopen.1012983,0,2026-04-10,1,0,1,,,,,,,,,,,,,PNA012,,,openalex-pilot-collection
