record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NE001,Beyond the One-Size-Fits-All: A Systematic Review of Personalized and Gamified e-Learning for Neurodivergent Learners,Surendra Babu T; Anu Mary Chacko; S. D. Madhu Kumar,2025,The Electronic Journal of e-Learning,journal,10.34190/ejel.23.3.4051,,https://doi.org/10.34190/ejel.23.3.4051,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE001,,,openalex-round2
R2NE002,Neurodiverse inclusive social work education considered through a student partnership,Yasmine Salisbury; Richard W. Foster; S. Laurie Hill; Gillian Buck,2024,Social Work Education,journal,10.1080/02615479.2024.2378915,,https://doi.org/10.1080/02615479.2024.2378915,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE002,,,openalex-round2
R2NE003,Compassionate pedagogy for neurodiversity in higher education: A conceptual analysis,Lorna Hamilton; Stephanie Petty,2023,Frontiers in Psychology,journal,10.3389/fpsyg.2023.1093290,,https://doi.org/10.3389/fpsyg.2023.1093290,140,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE003,,,openalex-round2
R2NE004,Experimenting With Generative AI to Create Personalized Learning Experiences for Twice-Exceptional and Multi-Exceptional Neurodivergent Students,Michelle Ronksley‐Pavia; Steven Ronksley-Pavia; Chris Bigum,2025,Journal of Advanced Academics,journal,10.1177/1932202x251346349,,https://doi.org/10.1177/1932202x251346349,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE004,,,openalex-round2
R2NE005,Guest editorial: Fostering inclusive approaches for learners with special needs,Heidi Flavian; Jeffrey W. Alstete,2024,Quality Assurance in Education,journal,10.1108/qae-10-2024-218,,https://doi.org/10.1108/qae-10-2024-218,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE005,,,openalex-round2
R2NE006,Reframing neurodiversity in engineering education,Maria Chrysochoou; Arash E. Zaghi; Connie Syharat,2022,Frontiers in Education,journal,10.3389/feduc.2022.995865,,https://doi.org/10.3389/feduc.2022.995865,55,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE006,,,openalex-round2
R2NE007,Unraveling Neurodiversity: Insights from Neuroscientific Perspectives,Hagar Goldberg,2023,Encyclopedia,journal,10.3390/encyclopedia3030070,,https://doi.org/10.3390/encyclopedia3030070,50,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE007,,,openalex-round2
R2NE008,"Promoting Science, Technology, and Engineering Self-Efficacy and Knowledge for All With an Autism Inclusion Maker Program",Wendy Martin; Jennifer Yu; Xin Wei; Regan Vidiksis; Kristie Patten; Ariana Riccio,2020,Frontiers in Education,journal,10.3389/feduc.2020.00075,,https://doi.org/10.3389/feduc.2020.00075,50,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE008,,,openalex-round2
R2NE009,Reimagining adolescent well-being through yoga as a public health paradigm,Anithamol Babu; Akhil P. Joseph; J. L. BOSE; Kalpana Sarathy,2026,Frontiers in Psychiatry,journal,10.3389/fpsyt.2025.1691915,,https://doi.org/10.3389/fpsyt.2025.1691915,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE009,,,openalex-round2
R2NE010,Experiences of neurodivergent students in graduate STEM programs,Connie Syharat; Alexandra Hain; Arash E. Zaghi; Rachael Gabriel; Catherine Berdanier,2023,Frontiers in Psychology,journal,10.3389/fpsyg.2023.1149068,,https://doi.org/10.3389/fpsyg.2023.1149068,37,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE010,,,openalex-round2
R2NE011,School distress and the school attendance crisis: a story dominated by neurodivergence and unmet need,Sophie E. Connolly; Hannah Constable; Sinéad L. Mullally,2023,Frontiers in Psychiatry,journal,10.3389/fpsyt.2023.1237052,,https://doi.org/10.3389/fpsyt.2023.1237052,48,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE011,,,openalex-round2
R2NE012,Guest editorial: Introduction to the special issue – learning with social media in an algorithmic age: opportunities and challenges for education,Christine Greenhow; K. Bret Staudt Willet; Jeffrey P. Carpenter,2024,Information and Learning Sciences,journal,10.1108/ils-10-2024-267,,https://doi.org/10.1108/ils-10-2024-267,1,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE012,,,openalex-round2
R2NE013,A Reflective Analysis on Neurodiversity and Student Wellbeing,Elliott Spaeth; Amy Pearson,2023,Journal of Perspectives in Applied Academic Practice,journal,10.56433/jpaap.v11i2.517,,https://doi.org/10.56433/jpaap.v11i2.517,30,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE013,,,openalex-round2
