record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2EA029,The Promises and Challenges of Artificial Intelligence for Teachers: a Systematic Review of Research,İsmail Çelik; Muhterem Dindar; Hanni Muukkonen; Sanna Järvelä,2022,TechTrends,review_article,10.1007/s11528-022-00715-y,,https://doi.org/10.1007/s11528-022-00715-y,727,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA029,,,openalex-round2
R2EA030,Optimizing learning outcomes: a deep dive into hybrid AI models for adaptive educational feedback,Hafiz Muhammad Qadir; Muhammad Taseer Suleman; Rafaqat Alam Khan; Muhammad Sohaib; Md Junayed Hasan; Syed Abid Hussain,2025,Journal Of Big Data,journal,10.1186/s40537-025-01187-6,,https://doi.org/10.1186/s40537-025-01187-6,4,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA030,,,openalex-round2
R2EA031,New Era of Artificial Intelligence in Education: Towards a Sustainable Multifaceted Revolution,Firuz Kamalov; David Santandreu Calonge; Ikhlaas Gurrib,2023,Sustainability,journal,10.3390/su151612451,,https://doi.org/10.3390/su151612451,853,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA031,,,openalex-round2
R2EA032,Leveraging AI-Generated Virtual Speakers to Enhance Multilingual E-Learning Experiences,Sergio Miranda; Rosa Vegliante,2025,Information,journal,10.3390/info16020132,,https://doi.org/10.3390/info16020132,7,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA032,,,openalex-round2
R2EA033,Influences of the Industry 4.0 Revolution on the Human Capital Development and Consumer Behavior: A Systematic Review,Violeta Sima; Ileana Georgiana Gheorghe; J. Subić; Dumitru Nancu,2020,Sustainability,review_article,10.3390/su12104035,,https://doi.org/10.3390/su12104035,745,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA033,,,openalex-round2
R2EA034,"A Survey of Ensemble Learning: Concepts, Algorithms, Applications, and Prospects",Ibomoiye Domor Mienye; Yanxia Sun,2022,IEEE Access,journal,10.1109/access.2022.3207287,,https://doi.org/10.1109/access.2022.3207287,1079,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA034,,,openalex-round2
R2EA035,Analysing the Intersection of Education and Data Science: Enhancing Learning Outcomes through Information Systems -An Analytical Study,Thejasvi Sheshadri; Karthik Reddy; Jaladi Santosh Rupa; S. Thamarai Selvi; S. Ramesh Babu; J Bamini; T.A. Shwetha,2025,Indian Journal of Information Sources and Services,journal,10.51983/ijiss-2025.ijiss.15.1.03,,https://doi.org/10.51983/ijiss-2025.ijiss.15.1.03,3,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA035,,,openalex-round2
R2EA036,Personalized College English Learning Based on Artificial Intelligence: Algorithm-Driven Adaptive Learning Method,Zhaoxing Zhou; Wenzhen Li,2024,International Journal of High Speed Electronics and Systems,journal,10.1142/s0129156425401020,,https://doi.org/10.1142/s0129156425401020,3,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA036,,,openalex-round2
R2EA037,Identifying Student Learning Styles Using Support Vector Machine in Felder-Silverman Model,Andhika Rafi Hananto,2024,Journal of Applied Data Sciences,journal,10.47738/jads.v5i3.337,,https://doi.org/10.47738/jads.v5i3.337,3,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA037,,,openalex-round2
R2EA038,Adaptive Weight Deep Convolutional Neural Network (AWDCNN) Classifier for Predicting Student’s Performance in Job Placement Process,T. Kavipriya; M. Sengaliappan,2021,Annals of the Romanian Society for Cell Biology,journal,,,http://annalsofrscb.ro/index.php/journal/article/view/719,4,2026-04-10,0,1,1,,,,,,,,,,,,,R2EA038,,,openalex-round2
