participant_id,session_id,timestamp_ms,phase,trial_id,gaze_x,gaze_y,page_width,page_height,event_type,event_value,text_id,probe_tut,difficulty,familiarity,comprehension_correct
P002,S1777384531374,27221,calibration,,,,2048,1018,phase_start,calibration,p1,,,,
P002,S1777384531374,27323,calibration,,502.85,497.70,2048,1018,gaze,,p1,,,,
P002,S1777384531374,27411,calibration,,500.17,496.62,1594,864,gaze,,p1,,,,
P002,S1777384531374,27483,calibration,,484.25,498.38,1594,864,gaze,,p1,,,,
P002,S1777384531374,27511,calibration,,450.67,506.96,1594,864,gaze,,p1,,,,
P002,S1777384531374,27539,calibration,,412.33,516.81,1594,864,gaze,,p1,,,,
P002,S1777384531374,27584,calibration,,362.64,534.81,1594,864,gaze,,p1,,,,
P002,S1777384531374,27664,calibration,,338.92,546.64,1594,864,gaze,,p1,,,,
P002,S1777384531374,27880,calibration,,229.98,598.01,1594,864,gaze,,p1,,,,
P002,S1777384531374,27929,calibration,,168.21,615.96,1594,864,gaze,,p1,,,,
P002,S1777384531374,27976,calibration,,90.22,633.25,1594,864,gaze,,p1,,,,
P002,S1777384531374,28011,calibration,,58.64,638.91,1594,864,gaze,,p1,,,,
P002,S1777384531374,28048,calibration,,21.56,630.71,1594,864,gaze,,p1,,,,
P002,S1777384531374,28081,calibration,,-15.10,662.66,1594,864,gaze,,p1,,,,
P002,S1777384531374,28122,calibration,,-98.52,650.78,1594,864,gaze,,p1,,,,
P002,S1777384531374,28184,calibration,,-171.97,659.93,1594,864,gaze,,p1,,,,
P002,S1777384531374,28249,calibration,,-129.79,644.14,1594,864,gaze,,p1,,,,
P002,S1777384531374,28286,calibration,,241.19,471.59,1594,864,gaze,,p1,,,,
P002,S1777384531374,28320,calibration,,562.93,362.80,1594,864,gaze,,p1,,,,
P002,S1777384531374,28364,calibration,,851.57,252.24,1594,864,gaze,,p1,,,,
P002,S1777384531374,28406,calibration,,1094.12,203.39,1594,864,gaze,,p1,,,,
P002,S1777384531374,28450,calibration,,1356.06,137.71,1594,864,gaze,,p1,,,,
P002,S1777384531374,28487,calibration,,1515.74,112.89,1594,864,gaze,,p1,,,,
P002,S1777384531374,28527,calibration,,1637.78,89.71,1594,864,gaze,,p1,,,,
P002,S1777384531374,28558,calibration,,1730.52,65.40,1594,864,gaze,,p1,,,,
P002,S1777384531374,28594,calibration,,1795.56,59.35,1594,864,gaze,,p1,,,,
P002,S1777384531374,28631,calibration,,1821.13,64.88,1594,864,gaze,,p1,,,,
P002,S1777384531374,28675,calibration,,1837.33,85.19,1594,864,gaze,,p1,,,,
P002,S1777384531374,28722,calibration,,1857.96,77.89,1594,864,gaze,,p1,,,,
